GEOID10,MAZ_NODE,TAZ_NODE
060014017001030,313622,300240
060014017001031,332411,300240
060014017001032,313274,300240
060014017001033,313274,300240
060014017001034,313274,300240
060014017001035,313274,300240
060014017001036,324498,300240
060014017001037,324498,300240
060014017001038,331748,300240
060014017001039,331748,300240
060014017001040,316865,300240
060014017001041,332411,300240
060014017001042,332411,300240
060014017001043,332411,300240
060014017001044,332411,300240
060014017001045,317200,300240
060014017001046,333239,300240
060014017001047,321476,300240
060014017001048,321476,300240
060014017001049,313274,300240
060014017001050,317200,300240
060014017001051,328245,300240
060014017001052,316865,300240
060014017001053,310288,300240
060014017001054,310288,300240
060014017001055,310288,300240
060014017001056,332411,300240
060014017001057,332411,300240
060014017001058,332411,300240
060014017001059,318702,300240
060014017001060,310288,300240
060014017001061,318702,300240
060014017001062,318702,300240
060014017001063,325038,300240
060014017001064,328245,300240
060014017001065,328245,300240
060014017001066,318702,300240
060014017001067,318702,300240
060014017002000,313787,300051
060014017002001,329017,300051
060014017002002,329017,300051
060014017002003,329019,300051
060014017002004,329019,300051
060014017002005,325506,300051
060014017002006,325506,300051
060014017002007,323657,300051
060014017002008,313784,300051
060014017002009,313787,300051
060014017002010,327625,300051
060014017002011,313787,300051
060014017002012,313787,300051
060014017002013,313787,300051
060014017002014,313787,300051
060014017002015,327625,300051
