tract,hhwrks0_,hhwrks1_,hhwrks2_,hhwrks3p_,ownkidsyes_,rentkidsyes_,ownkidsno_,rentkidsno_,county_fips,taz,weight
06001981900,0,0,0,0,0,0,0,0,06001,965,1.0
06001982000,0,0,0,0,0,0,0,0,06001,966,1.0
06001982100,0,0,0,0,0,0,0,0,06001,1019,1.0
06001983200,0,0,0,0,0,0,0,0,06001,967,1.0
06001990000,0,0,0,0,0,0,0,0,06001,,
06013301000,0,0,0,0,0,0,0,0,06013,1181,1.0
06013302005,0,0,0,0,0,0,0,0,06013,,
06013302006,0,0,0,0,0,0,0,0,06013,1182,1.0
06013302007,0,0,0,0,0,0,0,0,06013,,
06013302009,0,0,0,0,0,0,0,0,06013,1185,1.0
06013302011,0,0,0,0,0,0,0,0,06013,1180,1.0
06013302012,0,0,0,0,0,0,0,0,06013,,
06013302013,0,0,0,0,0,0,0,0,06013,,
06013302014,0,0,0,0,0,0,0,0,06013,,
06013303104,0,0,0,0,0,0,0,0,06013,,
06013303105,0,0,0,0,0,0,0,0,06013,,
06013303106,0,0,0,0,0,0,0,0,06013,1179,1.0
06013303107,0,0,0,0,0,0,0,0,06013,,
06013303202,0,0,0,0,0,0,0,0,06013,,
06013303204,0,0,0,0,0,0,0,0,06013,,
06013303206,0,0,0,0,0,0,0,0,06013,,
06013303207,0,0,0,0,0,0,0,0,06013,,
06013303208,0,0,0,0,0,0,0,0,06013,,
06013303209,0,0,0,0,0,0,0,0,06013,,
06013303210,0,0,0,0,0,0,0,0,06013,,
06013303211,0,0,0,0,0,0,0,0,06013,1178,1.0
06013304001,0,0,0,0,0,0,0,0,06013,,
06013304002,0,0,0,0,0,0,0,0,06013,1177,1.0
06013304003,0,0,0,0,0,0,0,0,06013,,
06013304004,0,0,0,0,0,0,0,0,06013,,
06013304006,0,0,0,0,0,0,0,0,06013,,
06013304007,0,0,0,0,0,0,0,0,06013,,
06013305000,0,0,0,0,0,0,0,0,06013,1189,1.0
06013306002,0,0,0,0,0,0,0,0,06013,1183,1.0
06013306003,0,0,0,0,0,0,0,0,06013,1188,1.0
06013306004,0,0,0,0,0,0,0,0,06013,,
06013307101,0,0,0,0,0,0,0,0,06013,1194,1.0
06013307102,0,0,0,0,0,0,0,0,06013,1191,1.0
06013307201,0,0,0,0,0,0,0,0,06013,1197,1.0
06013307202,0,0,0,0,0,0,0,0,06013,1190,1.0
06013307204,0,0,0,0,0,0,0,0,06013,1192,1.0
06013307205,0,0,0,0,0,0,0,0,06013,1193,1.0
06013308001,0,0,0,0,0,0,0,0,06013,1187,1.0
06013308002,0,0,0,0,0,0,0,0,06013,1184,1.0
06013309000,0,0,0,0,0,0,0,0,06013,1205,1.0
06013310000,0,0,0,0,0,0,0,0,06013,1206,1.0
06013311000,0,0,0,0,0,0,0,0,06013,1203,1.0
06013312000,0,0,0,0,0,0,0,0,06013,1204,1.0
06013313102,0,0,0,0,0,0,0,0,06013,1198,1.0
06013313104,0,0,0,0,0,0,0,0,06013,,
06013313105,0,0,0,0,0,0,0,0,06013,1199,1.0
06013313106,0,0,0,0,0,0,0,0,06013,1196,1.0
06013313107,0,0,0,0,0,0,0,0,06013,,
06013313203,0,0,0,0,0,0,0,0,06013,,
06013313204,0,0,0,0,0,0,0,0,06013,1200,1.0
06013313205,0,0,0,0,0,0,0,0,06013,1201,1.0
06013313206,0,0,0,0,0,0,0,0,06013,1202,1.0
06013314102,0,0,0,0,0,0,0,0,06013,1207,1.0
06013314103,0,0,0,0,0,0,0,0,06013,1209,1.0
06013314105,0,0,0,0,0,0,0,0,06013,1208,1.0
06013314106,0,0,0,0,0,0,0,0,06013,,
06013314200,0,0,0,0,0,0,0,0,06013,1210,1.0
06013315000,0,0,0,0,0,0,0,0,06013,1097,1.0
06013316000,0,0,0,0,0,0,0,0,06013,1092,1.0
06013317000,0,0,0,0,0,0,0,0,06013,1093,1.0
06013318000,0,0,0,0,0,0,0,0,06013,1091,1.0
06013319001,0,0,0,0,0,0,0,0,06013,,
06013319002,0,0,0,0,0,0,0,0,06013,1094,1.0
06013320001,0,0,0,0,0,0,0,0,06013,1095,1.0
06013320003,0,0,0,0,0,0,0,0,06013,,
06013320004,0,0,0,0,0,0,0,0,06013,1096,1.0
06013321101,0,0,0,0,0,0,0,0,06013,1124,1.0
06013321102,0,0,0,0,0,0,0,0,06013,1126,1.0
06013321103,0,0,0,0,0,0,0,0,06013,1125,1.0
06013321200,0,0,0,0,0,0,0,0,06013,1123,1.0
